BestLapTime,LapsComplete,Status,PositionStart,DriverID,TeamID,TrackID,TrackType,PositionFinish,,,
01:02.4,100,0,1,4511,2,2,2,3,,,
01:02.5,100,0,8,3667,11,2,2,4,,,
01:02.2,100,0,19,4944,4,2,2,5,,,
01:03.1,100,0,9,4948,8,2,2,6,,,
01:02.8,100,0,18,4559,3,2,2,7,,,
01:02.7,100,0,4,4938,3,2,2,8,,,
01:02.6,100,0,24,4215,11,2,2,9,,,
01:03.0,100,0,15,4587,6,2,2,10,,,
01:02.9,100,0,16,3628,4,2,2,11,,,
01:02.8,100,0,7,4932,11,2,2,12,,,
01:02.3,100,0,12,4905,2,2,2,13,,,
01:02.3,100,0,2,4636,1,2,2,14,,,
01:03.0,100,0,26,4613,7,2,2,15,,,
01:02.8,100,0,22,4981,9,2,2,16,,,
01:02.8,100,0,25,4218,7,2,2,17,,,
01:03.7,100,0,20,4644,5,2,2,18,,,
01:02.9,98,0,27,4915,3,2,2,19,,,
01:03.2,97,0,11,3668,10,2,2,20,,,
01:03.0,83,1,14,4588,8,2,2,21,,,
01:02.6,83,1,13,4949,10,2,2,22,,,
01:03.1,83,1,23,4940,10,2,2,23,,,
01:02.7,80,1,10,4920,6,2,2,24,,,
01:02.4,72,1,5,4931,4,2,2,25,,,
01:02.9,66,1,17,4939,9,2,2,26,,,
01:04.3,6,1,6,4614,5,2,2,27,,,
00:40.0,200,0,6,4931,4,4,0,1,,,
00:40.3,200,0,7,4636,1,4,0,2,,,
00:39.8,200,0,3,4559,3,4,0,3,,,
00:40.1,200,0,5,4588,8,4,0,4,,,
00:39.9,200,0,15,4897,1,4,0,5,,,
00:39.9,200,0,18,4920,6,4,0,6,,,
00:40.1,200,0,8,4938,3,4,0,7,,,
00:40.1,200,0,11,4218,7,4,0,8,,,
00:40.1,200,0,2,9999,10,4,0,9,,,
00:39.8,200,0,22,9999,8,4,0,10,,,
00:40.5,200,0,16,4940,10,4,0,11,,,
00:40.6,200,0,20,4949,10,4,0,12,,,
00:40.0,199,1,24,4915,3,4,0,13,,,
00:40.2,199,0,27,4511,2,4,0,14,,,
00:40.3,199,0,14,9999,6,4,0,15,,,
00:40.0,199,0,33,3667,11,4,0,16,,,
00:40.5,199,0,28,3668,10,4,0,17,,,
00:40.3,198,0,30,4948,8,4,0,18,,,
00:40.5,198,0,26,9999,8,4,0,19,,,
00:39.9,197,0,4,3628,4,4,0,20,,,
00:40.1,171,1,25,9999,8,4,0,21,,,
00:40.2,135,1,32,4215,11,4,0,22,,,
00:40.3,91,1,17,4613,7,4,0,23,,,
00:39.9,91,1,19,9999,3,4,0,24,,,
00:40.2,91,1,13,4944,4,4,0,25,,,
00:40.1,87,1,1,4981,9,4,0,26,,,
00:40.7,81,1,31,4614,5,4,0,27,,,
00:40.3,73,1,12,4587,6,4,0,28,,,
01:19.4,4,1,29,9999,2,4,0,29,,,
,0,1,10,4932,11,4,0,30,,,
00:40.3,200,0,9,4905,2,4,0,31,,,
00:40.1,200,0,23,4623,2,4,0,32,,,
00:40.4,200,0,21,4939,9,4,0,33,,,
01:11.5,85,0,1,4931,4,3,1,1,,,
01:12.3,85,0,8,4559,3,3,1,2,,,
01:12.2,85,0,7,3667,11,3,1,3,,,
01:12.5,85,0,4,4932,11,3,1,4,,,
01:12.3,85,0,16,3628,4,3,1,5,,,
01:12.4,85,0,2,3668,10,3,1,6,,,
01:12.5,85,0,15,4948,8,3,1,7,,,
01:12.3,85,0,21,4623,2,3,1,8,,,
01:12.2,85,0,24,4614,5,3,1,9,,,
01:12.1,85,0,12,4588,8,3,1,10,,,
01:12.7,85,0,3,4949,10,3,1,11,,,
